Trajectory_ID,Samples,Duration_s,Mean_Remaining_Time_s,MAE_s,RMSE_s,R2
443,2841,2815.23999999929,1407.37821189662,469.698372863172,567.121031197649,0.513576665961174
447,1291,1277.34999999963,638.441525949227,710.628607220033,778.359129584608,-3.44239822476754
448,2128,2106.5,1052.50198308272,463.829178439611,523.521253577736,0.261002431933665
455,1795,1780.78999999911,890.669080780009,163.348182257122,222.033790542463,0.813704023820994
466,2137,2116.34999999963,1057.6387505844,199.949072426294,242.379338495097,0.842978625945218
469,1859,1842.30999999959,920.494620763768,165.560414514382,196.38011500281,0.86412244223028
471,1741,1725.34000000078,863.071596784263,267.688191415069,297.705205355109,0.643105992960572
473,1744,1728.6799999997,865.072362385195,129.217724294591,181.568219477907,0.867742887584952
475,1829,1811.71999999881,905.173132858657,236.380553270576,290.414581020685,0.692875783024872
477,1563,1545.84999999963,772.484075495647,285.927605453832,354.326315599813,0.371915945797179
480,1601,1586.54000000097,792.625221736982,272.854427448671,335.351484410563,0.465215045511094
487,1234,1220.03999999911,608.878987033962,604.197218796455,662.006509181987,-2.51556217001057
490,681,672.839999999851,336.231130689823,1190.10466052281,1239.37591272803,-39.3897901132557
491,1232,1218.23000000045,608.240925325612,758.732042824404,813.850980303292,-4.31854237839978
500,1504,1491.5,746.544082446793,117.162895791452,138.970935839554,0.89597284881933
501,1520,1505.29000000004,751.934046052201,219.73910455271,247.1478597317,0.677720947308555
508,2731,2706.88999999966,1353.49840717623,516.415501813292,673.252285279528,0.259033519240904
510,1235,1224.12999999896,612.079797570255,585.403140058564,653.158141212593,-2.40139136669641
514,1385,1504.04999999888,801.210974728714,165.689838048729,193.727161484822,0.7907074301031
515,2427,2403.81999999844,1200.363774206,343.239497898082,412.237761385267,0.648300787680553
520,2107,2089.6799999997,1045.30997626973,383.364635457264,462.30878207999,0.413016298734545
524,371,366.029999999329,182.70021563433,1004.78006722315,1031.86622314424,-93.098418214199
531,3233,3206.38000000082,1602.86843179769,833.734151058303,982.80533069088,-0.126805128815103
533,649,641.289999999106,320.071463790913,651.05590788939,669.40822454876,-11.9757312599644
534,643,634.290000000969,316.731104199214,987.588224857936,1036.11624054317,-30.662223692039
537,1982,1964.58999999985,982.175121090184,303.035889580957,357.94013945373,0.602005391464665
542,1728,1712.00999999978,856.705150463184,182.284958403056,218.826364762048,0.804169671249278
556,1579,1564.45000000112,781.57555414842,439.093877356749,544.917858122467,-0.4492438435429
570,1841,1824.95999999903,912.449136338513,339.029792150486,414.810956692095,0.382205317461439
577,2148,2128.31000000238,1063.81024674253,288.392539004916,374.057916280003,0.630375468947884
579,1712,1695.46000000089,848.090899533278,188.28312186621,257.938319625974,0.722575313470594
583,98,95.0600000005215,48.3332653073594,387.702908443662,438.401579572153,-240.015840191933
596,634,626.580000001937,312.670946372588,506.654989935926,518.708807794534,-7.11845295254982
616,1522,1506.11999999918,752.062286465439,226.563795300389,248.352726725545,0.675589080074167
617,693,684.990000000224,342.260634920671,630.760643344895,685.984677388016,-10.964908167315
633,2315,2295.31999999844,1148.6269546418,428.217833059408,551.69152106837,0.30733624291655
647,92,89.7600000016391,45.4467391311191,373.795503437125,429.566327203886,-261.440524349814
663,928,917.919999999925,458.169331896109,594.517699430026,622.787534764865,-4.49260640648449
673,644,639.580000001937,319.525465839635,932.002046007283,945.761534625587,-25.0559006536865
677,1278,1266.1099999994,632.069600939179,500.693813726106,631.418498097193,-1.97199094365846
680,919,908.789999999106,453.908672469377,692.938597943613,731.854682473747,-6.71688327374545
681,929,918.729999998584,459.136124865185,396.031039184736,462.622372030683,-2.01871516036359
686,1216,1202.26999999955,600.725139801493,453.493916738735,510.374940069988,-1.1506193441991
707,333,327.839999999851,163.828468467526,1080.15881148098,1089.82640597005,-128.444098839332
717,309,305.299999998882,152.252880259324,746.531774749326,753.601471188513,-70.4715265422104
719,948,936.109999999404,467.297616033208,354.239507014163,427.976513759067,-1.48840571106775
722,1491,1478.26999999955,739.791462105305,237.79788164737,277.552010053791,0.577531080612104
737,743,736.959999999031,368.769676984713,545.254513766861,583.232549863611,-6.4844298890708
747,1821,1802.95000000112,900.775667215993,406.371420343447,475.713308169293,0.167315229667207
750,85,81.929999999702,41.6714117657831,381.870696113244,439.10684403387,-320.853593808165
753,1519,1503.97000000067,751.008433180679,252.022488521003,314.982419065907,0.475651478281411
760,68,64.570000000298,32.8289705894559,355.208286624966,425.120851764641,-472.10453108202
769,133,129.800000000745,65.5724060149037,523.113561221583,566.049517033203,-216.83251094136
787,610,601.39999999851,299.859557375868,319.091307728113,349.924297342619,-2.99481653417111
791,923,912.209999999031,455.275482123175,275.144836720218,315.346270040802,-0.423673577952282
797,611,604.129999998957,301.712995090188,497.731430675681,510.886647786017,-7.46551631608408
798,610,601.669999999925,300.059213114692,452.692040699241,462.032911251435,-5.9638154668771
801,58,55.6900000013411,28.4608620690053,357.879237991203,441.139575341384,-698.772718564482
808,625,617.419999999925,308.298688001192,564.178994131477,587.727354767664,-9.73144820225853
809,97,94.019999999553,47.7052577315762,404.299601611065,464.815387880241,-275.583723423635
812,57,53.679999999702,27.3731578948597,348.848461244676,441.151991855741,-726.393458670069
815,913,901.63000000082,449.481117196187,213.141375825953,236.362821432682,0.182347595209365
816,61,58.2400000002235,29.3267213129057,373.299540020517,457.658956150905,-680.370360523545
